"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77285","branchLogin","chromium","2026-07-28","passed","2026-07-28","accountClose","KBZPayServiceOps\accountClose.spec.ts","",""
"","40549","DCEO2Flow","chromium","2026-07-28","passed","2026-07-28","PettyCashFlow","NonPoService\PettyCashFlow.spec.ts","",""
"","32357","CEOFlow","chromium","2026-07-28","passed","2026-07-28","PettyCashFlow","NonPoService\PettyCashFlow.spec.ts","",""
"","345202","pettyCashFlow","chromium","2026-07-28","passed","2026-07-28","PettyCashFlow","NonPoService\PettyCashFlow.spec.ts","",""
"","105855","TSOLoginFlow","chromium","2026-07-28","passed","2026-07-28","accountClose","KBZPayServiceOps\accountClose.spec.ts","",""
"","43871","branchFlow","chromium","2026-07-28","passed","2026-07-28","PettyCashFlow","NonPoService\PettyCashFlow.spec.ts","",""
"","117911","financeAuthorizerFlow","chromium","2026-07-28","passed","2026-07-28","PettyCashFlow","NonPoService\PettyCashFlow.spec.ts","",""
"","55445","dcfoFlow","chromium","2026-07-28","passed","2026-07-28","PettyCashFlow","NonPoService\PettyCashFlow.spec.ts","",""
"","51166","DCEOFlow","chromium","2026-07-28","passed","2026-07-28","PettyCashFlow","NonPoService\PettyCashFlow.spec.ts","",""
"","83578","closingLoopLogin","chromium","2026-07-28","passed","2026-07-28","accountClose","KBZPayServiceOps\accountClose.spec.ts","",""
"","34476","FinanceRenocileFlow","chromium","2026-07-28","passed","2026-07-28","PettyCashFlow","NonPoService\PettyCashFlow.spec.ts","",""
"","57155","CFOFlow","chromium","2026-07-28","passed","2026-07-28","PettyCashFlow","NonPoService\PettyCashFlow.spec.ts","",""
"","162411","Kyc1Flow","chromium","2026-07-28","passed","2026-07-28","KYCFlow","CentralOps\KYCFlow.spec.ts","",""
"","61551","branchFlow","chromium","2026-07-28","passed","2026-07-28","KYCFlow","CentralOps\KYCFlow.spec.ts","",""
"","103697","Kyc2Flow","chromium","2026-07-28","passed","2026-07-28","KYCFlow","CentralOps\KYCFlow.spec.ts","",""
"","349461","AccountCloseTest","chromium","2026-07-28","passed","2026-07-28","accountClose","KBZPayServiceOps\accountClose.spec.ts","",""
"","42866","CFO2Flow","chromium","2026-07-28","passed","2026-07-28","PettyCashFlow","NonPoService\PettyCashFlow.spec.ts","",""
"","61889","tsoLogin2","chromium","2026-07-28","passed","2026-07-28","accountClose","KBZPayServiceOps\accountClose.spec.ts","",""
"","241690","kycFlowTest","chromium","2026-07-28","passed","2026-07-28","KYCFlow","CentralOps\KYCFlow.spec.ts","",""
